Uid,Liked Song,ArtistUid
51weeeeeeeeee,625717,TRIODUST
51weeeeeeeeee,637438,owfband
51weeeeeeeeee,638175,dusanaga
51weeeeeeeeee,637033,BoogieTim
51weeeeeeeeee,634760,YoungLee337
51weeeeeeeeee,631132,YoungLee337
51weeeeeeeeee,629989,killerblood
51weeeeeeeeee,597951,yen1982
51weeeeeeeeee,624022,Serrini
51weeeeeeeeee,629457,MongTongBand
51weeeeeeeeee,627318,51weeeeeeeeee
51weeeeeeeeee,627006,51weeeeeeeeee
51weeeeeeeeee,623630,YoungLee337
51weeeeeeeeee,627289,YoungLee337
51weeeeeeeeee,627218,WhatINeed
51weeeeeeeeee,627025,wring_out_laura
51weeeeeeeeee,622581,YoungLee337
51weeeeeeeeee,620199,wring_out_laura
51weeeeeeeeee,615268,limgiong
51weeeeeeeeee,614266,51weeeeeeeeee
51weeeeeeeeee,607759,Hupesoftman
51weeeeeeeeee,604930,limgiong
51weeeeeeeeee,584750,catsonslide2019
51weeeeeeeeee,602685,TransferStudent
51weeeeeeeeee,602047,MillionWang
51weeeeeeeeee,602023,1pfani
51weeeeeeeeee,600303,wring_out_laura
51weeeeeeeeee,599086,Hupesoftman
51weeeeeeeeee,599662,catsonslide2019
51weeeeeeeeee,599779,wednesdaywu
51weeeeeeeeee,599829,datzaduno
51weeeeeeeeee,599933,weareallears
51weeeeeeeeee,600035,frank_chen88688
51weeeeeeeeee,599931,frank_chen88688
51weeeeeeeeee,571516,cemelesaistudio
51weeeeeeeeee,598347,Fogbow2013
51weeeeeeeeee,549559,ChicoTsai
51weeeeeeeeee,598519,wring_out_laura
51weeeeeeeeee,597580,limgiong
51weeeeeeeeee,596542,wring_out_laura
51weeeeeeeeee,595551,1pfani
51weeeeeeeeee,593756,dachen223
51weeeeeeeeee,590011,YoungLee337
51weeeeeeeeee,587069,Softmiller
51weeeeeeeeee,585779,YoungLee337
51weeeeeeeeee,584350,softlipa
51weeeeeeeeee,584320,kasumi448
51weeeeeeeeee,583729,Julia_Wu
51weeeeeeeeee,583266,WhatINeed
51weeeeeeeeee,567317,laytonwoohbill
51weeeeeeeeee,305515,TuTofficial
51weeeeeeeeee,578597,Wadepunk
51weeeeeeeeee,550294,liulewie
51weeeeeeeeee,555558,Balious
51weeeeeeeeee,484427,datsdashit
51weeeeeeeeee,560173,lilakin
51weeeeeeeeee,560180,lilakin
51weeeeeeeeee,563817,lilakin
51weeeeeeeeee,560181,lilakin
51weeeeeeeeee,567194,bradrlee
51weeeeeeeeee,574292,ill_mo
51weeeeeeeeee,581354,Purr
51weeeeeeeeee,581401,21st_Centry_Bored_Guys
51weeeeeeeeee,572500,WhatINeed
51weeeeeeeeee,580946,Softmiller
51weeeeeeeeee,580941,Softmiller
51weeeeeeeeee,580506,WeiJLee
51weeeeeeeeee,580692,ZEO_WATER
51weeeeeeeeee,152701,mcxiao
51weeeeeeeeee,580507,ZEO_WATER
51weeeeeeeeee,568734,thisisyoyo
51weeeeeeeeee,568732,thisisyoyo
51weeeeeeeeee,168738,mcxiao
51weeeeeeeeee,580422,WeiJLee
51weeeeeeeeee,580375,fragilegirls
51weeeeeeeeee,579363,b8095
51weeeeeeeeee,574786,youthbanana
51weeeeeeeeee,579403,arcticdeer03221021
51weeeeeeeeee,578860,junepan
51weeeeeeeeee,579324,ulttmu
51weeeeeeeeee,579149,yellowhippy420
51weeeeeeeeee,579111,yellowhippy420
51weeeeeeeeee,579051,yellowhippy420
51weeeeeeeeee,578976,yellowhippy420
51weeeeeeeeee,578516,21st_Centry_Bored_Guys
51weeeeeeeeee,578445,piaxstudio
51weeeeeeeeee,578446,YHLee79
51weeeeeeeeee,573651,Gweilee
51weeeeeeeeee,573762,Gweilee
51weeeeeeeeee,578361,Gweilee
51weeeeeeeeee,470912,ccuuzz
51weeeeeeeeee,471150,ccuuzz
51weeeeeeeeee,471611,ccuuzz
51weeeeeeeeee,499317,ccuuzz
51weeeeeeeeee,578376,ccuuzz
51weeeeeeeeee,578357,banyangang
