Uid,Collab Song,CollabUid
yen1982,637118,yuhuan1028s
yen1982,637117,yuhuan1028s
yentinglo,634013,svradio
yf____c,671714,Andy970029
yf____c,671373,NCCU_heyin
yf____c,662826,kuanurboi
yiting_chang_,665659,dayu0609
yiting_chang_,643229,lil_happy_lif3
yiting_chang_,643228,lil_happy_lif3
yxl0730nobody,649090,solomomliu
zac60422,683442,KOzZY
zac60422,673862,Rooftopmob
zac60422,666630,edward_chiu
zac60422,666615,KOzZY
zac60422,661566,cgsh97_monkey
zac60422,660830,cgsh97_monkey
zac60422,655596,KOzZY
zac60422,650080,ntuthiphop
zaq1234_12367,659155,jk911022
zaq1234_12367,646521,summerbeach0069
