musicianID,followerCNT,followingCNT
/TransferStudent/,347,22
/haribozs/,148,0
/ZING_officiall/,895,2
/ismtbroadcast/,138,18
/yes3861900/,791,0
/ZEO_WATER/,4272,7
/Skaraoke/,275,81
/pennywhy/,146,14
/n7atsao/,319,0
/Conehead/,733,157
/bedroompartyhk/,83,0
/fushoustreet/,72,8
/yiting_chang_/,2464,4
/keynocee/,553,0
/lucaslumusic_21/,658,6
/zizimusic/,78,0
/sync_with_me/,15,17
/heartones/,1105,47
/mooninahuang/,337,350
/lil_du/,14,34
/eric198853/,3587,12
/roctordoctor/,28,12
/mezzo249/,46,1
/goldink0515/,372,6
/KawaSounds/,47,0
/Chill_Bros/,519,3
/csimusic/,37,3
/Nikar2020/,11,3
/enzokilla/,64,8
/henry_bii1999/,60,4
/aagoodday/,5028,1
/detroitfatkids/,227,37
/peterpanh/,233,0
/tryingtimes/,268,7
/finemusic/,207,60
/kai_xuan_159/,218,0
/a21043q/,163,250
/thespacecakeband/,2017,0
/kingkongkuan/,121,19
/tomiichanmusic/,363,8
/sean842850/,5070,17
/dachen223/,5430,17
/sunriz/,353,16
/TommyBlue/,202,3
/itsyourfault/,7112,1
/PhilipYoung/,1489,1
/yutinhuang/,196,23
/Mac_Ju/,13,4
/bradrlee/,206,21
/Brary/,23,0
/AlphaChild1/,155,0
/lil_happy_lif3/,680,71
/BURNIE/,138,8
/jamesli123/,46,0
/Charleschang/,11,11
/Vilen1222/,290,7
/h2o1996/,1349,48
/OSA/,242,3
/Someshit/,7281,28
/soundof2percent/,181,25
/Caramelsauce_/,22,2
/Noborusan/,120,22
/ruthmiaoru/,149,5
/killerblood/,1161,49
/MidisWonderland/,752,29
/wc109101065/,2811,50
/fever86520/,969,24
/ComradeXiangyu/,293,7
/DJGround/,99,17
/trezo2017/,196,5
/51weeeeeeeeee/,376,98
/jk911022/,166,33
/Fade_to_Blue/,256,4
/combobulators/,30,0
/s4203871017/,668,12
/happy2031451/,763,29
/Zowie217/,149,2
/analogbiiitch/,168,4
/OFF_THE_RECORD_official/,106,0
/som4ever/,7584,19
/lingyuankeng/,171,0
/goodhoodbnd/,917,38
/piaxstudio/,7993,7
/William_ROLLyal/,613,0
/Chancharlie_/,61,24
/rubyfatale/,2175,124
/s_p_i_c_e/,415,1
/flippedinlove/,385,0
/troychenGT/,7,7
/chad_0719/,44,0
/elimlee/,29,41
/dropp/,237,15
/poe4ever/,3639,47
/caotunboy/,718,0
/obscureorchestra/,33,2
/13lefty/,230,19
/funones/,125,0
/Larksfaith/,106,0
/ella26980403/,1,0
/hlctim901107/,184,1
/BackMountKrew/,15458,2
/ntuthiphop/,43,0
/blackred/,22,0
/Lusanic/,19,1
/BoogieTim/,222,11
/Ke2n1/,27,0
/Piper_peng/,151,0
/burningbeak/,393,0
/thisishuer/,97,13
/Fourmula_band/,347,0
/Johnchen4real/,164,9
/YunlinKendricklamar/,26,5
/GestaltGirl/,7682,0
/yen1982/,1281,69
/sugarcatband/,4772,2
/Locu5/,101,0
/findingneo/,895,6
/ourshame92/,7650,38
/viber2020/,165,1
/im402lol/,84,27
/troy55555/,93,23
/TheAndyShow/,83,9
/kuanurboi/,720,69
/hazenk1ng/,389,5
/HighBoy/,26,0
/madzine/,541,36
/pezen/,242,135
/ninjachun/,152,0
/birstyle236016/,256,10
/asd8983530/,330,13
/dcdessy/,368,2
/Rock4ever/,557,0
/3r2music/,356,4
/BaconSlap/,158,2
/mond121207/,1950,3
/Soulfomusic/,25,1
/Jerry0426/,34,1
/Frande/,8866,0
/AgustinShen/,71,33
/bbe/,24,0
/nimoyully/,341,46
/sherryccexon/,312,15
/tinsrobinson/,135,20
/BeatmakersTaipei/,1782,0
/fubarsound/,24098,0
/7uly/,291,7
/5400_54oo/,720,0
/laytonwoohbill/,4409,18
/doojay98/,1453,30
/kaorecords/,3311,16
/Bestards/,45134,43
/voxplay/,687,6
/zaq1234_12367/,137,30
/nononsensecollective/,7348,27
/AmberKuo_AK/,673,2
/ntu_hiphop/,871,0
/popoj820927/,6639,13
/vbnm1231/,461,1
/shu05229970/,10642,35
/realProfessorH/,1098,20
/chilladan/,2862,6
/4instasia/,212,11
/actuallyn/,221,56
/TRIODUST/,1200,31
/wayne__dong/,180,1
/ohmymeiting/,3140,15
/Lilylu0917/,11,6
/CHILLBAKA/,195,60
/earthdayoff/,541,6
/dudedonteventry/,48,12
/thegirlsony/,3901,1
/huangdachien/,8511,0
/thepurevocal66/,89,5
/junepan/,3499,0
/mctoast/,41,3
/Yoannasun/,429,0
/danhsueh/,1027,9
/wendydy95/,71,9
/ZooeyWonder/,8171,62
/haowei_arno/,354,14
/khuannjittsaam/,293,0
/_6vincent9_/,65,0
/Rommyrollin/,225,2
/Leepa/,96,18
/Jinboismyname/,1045,4
/Shouttttttt/,89,11
/multiversefam/,2871,2
/sandwichfail/,6324,0
/KEEEEEEXI/,62,0
/8bkuo/,155,8
/uimusic/,671,25
/irenexia/,1470,0
/hsienchinnng/,27419,10
/butf/,39,8
/ted78247820/,248,26
/Claydermentis/,102,2
/s9021720000/,33,20
/KaoLin/,499,13
/michael0228/,173,11
/liucanned/,206,389
/SYNTHGUMI04/,257,1
/FAMO/,96,1
/jinjin823/,344,55
/sexonthebeat_hk/,26,2
/stone1024/,45,0
/Bear_fan/,224,36
/ah_shu_shu/,52,12
/lanting/,1914,0
/lil_karbi/,2502,40
/whynot2020/,101,2
/blowyourheart/,755,5
/Mo1028/,35,5
/zhcband/,29817,0
/KayC14/,393,3
/solomomliu/,596,1
/bambii_annz/,239,5
/thewhiteeyes/,768,39
/TheTalker/,626,4
/w2__17/,193,13
/Lipzeo/,33,1
/faye_official/,2365,5
/yufuchenmusic/,1442,0
/noisy_haze_dd/,109,0
/xzherman2227/,254,5
/cozzzy830818/,76,0
/koliseum/,48,2
/suckmc/,3340,1
/FloodingBridge/,5035,4
/dqdq212/,2183,23
/ufa/,362,0
/Dean829/,903,16
/tuegofunpan/,386,0
/ArthurShun2018/,140,2
/kellyrock3722/,288,22
/tzuyuan30/,118,0
/longhumen/,272,0
/showmain/,417,7
/thenextlty861031/,102,5
/koala_dada/,9,39
/yuweiwenband/,258,6
/wesley753951/,88,3
/revaop/,24,15
/NightZ/,8,7
/Pony5ibe/,3338,1
/Y_c/,388,0
/Lowkingofficial/,195,97
/turtleknights/,1704,5
/hitdondon/,2042,0
/murkyghost/,1020,44
/kailun0409/,12,0
/jing77697/,756,81
/hsichy/,283,0
/nabeyaki_egg_noodles/,43,0
/yentinglo/,194,1
/bottleberries/,190,4
/spiritlab2020/,72,18
/Zoethechef/,120,1
/Tasty/,598,6
/vois/,10,0
/cheir_yun/,9,0
/fancy_sun_jo/,486,4
/AKNIT/,395,16
/MongTongBand/,641,6
/wavegoat98/,108,0
/R4ly/,55,4
/J_wang_29/,24,3
/joeyhuang/,1670,37
/wayofpuzzle/,5554,21
/lalluvial/,397,57
/Balious/,634,41
/outlander/,1068,3
/YaoaY/,59,0
/fourpens/,4246,63
/softlipa/,37827,143
/etmusic/,161,0
/Vout/,84,3
/ruby200457630/,106,12
/sparkylee/,167,12
/1pfani/,310,42
/hsiangyukao/,352,107
/ezshen/,1209,20
/babybabycrycry/,356,19
/thecrane/,3581,9
/itskarencici/,2223,0
/masonchiangmusic/,279,34
/rosehuang1127/,142,17
/benxdevil/,744,0
/hengJoneshunnid/,495,14
/ProgressiveGuava/,36,6
/Lil_Shuan/,14,16
/Yocho_Official/,39,5
/LC_caje/,68,20
/toufahutong/,110,8
/ClickNo15/,299,0
/piscoband/,4290,21
/ShikinRollin/,730,4
/rene_superawesome/,206,0
/greeeeeeen/,1496,9
/ckjc15th/,12,0
/genneo/,521,1
/han_lin_li/,144,7
/chengbone/,23,27
/wop81/,190,10
/blu_colh/,57,5
/ape101129/,197,55
/linion_linion/,7249,10
/dutchitrap/,49,0
/colbieong/,272,1
/tryangle/,295,1
/HigherBrothers/,4004,0
/FormoSir/,82,2
/bebolee/,10,0
/look850802/,1604,5
/michaellee1995/,27,8
/cemelesaistudio/,374,0
/shuya_/,8457,2
/chord76415/,6902,60
/HsuD_official/,236,19
/k4990878/,203,12
/catwei/,189,1
/Sophiehu/,427,17
/Hobrewblu/,100,2
/Kocheng04/,71,5
/mxxdlife/,2858,0
/jien00008/,2457,25
/PoC/,122,5
/finn0829/,142,45
/ShadowProject/,5369,0
/Anak_Borneo/,56,44
/DSPS/,11798,6
/b0002381/,200,47
/aka_lulu/,43,62
/leothreeseven/,1352,0
/wenti311/,23,2
/Hungyulin/,2861,11
/blackie0713/,651,8
/TNTBoii/,96,40
/dc912001/,127,10
/johnnnnnn/,1782,49
/errorfrequency/,840,42
/Marz23/,12878,1
/ryota_katayama/,303,12
/lightengine/,1276,6
/Laitzai1027/,12,0
/still_king_q5/,15,26
/natsuzip/,78,48
/tsengsean/,40,5
/nakita81814/,77,9
/b8515057/,33,0
/yuhuan1028s/,324,54
/Rooftopmob/,379,8
/TinTenTan/,17293,12
/Swannnn/,57,9
/liangfu2017/,913,72
/zsghs120th_320/,27,0
/hellovivianana/,13,1
/ET_Tseng/,17,41
/Sophysophyw/,765,14
/kalabebe/,370,118
/lonelygame/,160,3
/Qzzy/,400,6
/Darkduckisme/,15,34
