musicianID,followerCNT,followingCNT
/Lei_Lei/,23,57
/LeooonC1/,10,13
/Lexuan__/,211,50
/Lick/,64,38
/Lil_chen/,11,25
/Lilice/,217,15
/Lin_0707/,4,0
/LionGwen/,1,1
/Loadingstory_imformal/,9,11
/Local_Bomb/,255,10
/Lolli/,49,5
/Louisenne/,1,2
/Lpboiz/,6,7
/Lspade/,14,24
/Lucianlove/,3,0
/LumiXu/,5636,0
/MACHILL_RP/,7,21
/MAD/,68,18
/MAKILEE/,70,2
/MATAHARIensemble/,10,4
/MCDAVID/,101,49
/MCMTW/,3812,0
/MCVILL/,13,7
/MCebbi/,193,88
/MCliangliang/,119,105
/MGSF/,17,33
/MIDNIGHTPINGPONG/,2378,0
/MILKRU/,22,48
/MIMwatercity/,3247,6
/MOSQUILEPHANT/,59,37
/MOXIZISHI/,786,0
/MYTK/,14,6
/MaJah0807/,7,1
/MaXioan/,834,17
/MacTsai/,33,38
/Maddogbb/,25,4
/MadeinTW/,48,33
/Maffine/,2188,0
/MajoDashin/,7,2
/MangoJump/,2596,0
/MangoPan0914/,22,30
/Mango_Street_Papa/,1240,19
/Mao5095/,14,9
/Maochun/,31,36
/Mark/,3,1
/Marstn/,903,18
/Marzee/,5,2
/MateLin/,484,5
/Matt1009/,22,3
/Mayous/,20,21
/Mercylose/,102,3
/MessBand/,169,1
/Mica7L/,2,3
/MikeyNau/,2,19
/Mikeykuo1126/,12,12
/Minor2012/,8,4
/Minstrel/,10,23
/Mirrors/,132,0
/MiseryKlose/,3,1
/Miso/,170,1
/Misslady/,3,4
/Mixed/,38,23
/MixerMiSir/,10645,0
/Monoofficial2341/,1262,0
/MonsterKenny/,128,53
/Motion/,12,13
/Mountain_brother/,9,0
/Moynoy/,4,11
/Mozartghost/,9,2
/MrCocky/,93,41
/MrNoproperty/,231,3
/MrRock19870530/,45,12
/MrTrouble/,53,38
/Mr_Bu/,21,34
/Mrfunkong/,89,11
/MusicExecuters/,111,28
/MusicLight/,30,9
/MuzKa/,6,43
/Muzzy/,41,0
/Myself1017/,44,44
/Mystery/,100,2
/NANMEN/,957,6
/NAXSCORP/,44,0
/NCKillaz2017/,127,12
/NIKU0433/,2,7
/NOVA123/,15,38
/NYLAS/,412,33
/Nana1stlady/,423,49
/NaomiYohani/,175,22
/Narcissus/,14,114
/Neahlun/,51,5
/Neverwinternight1020/,25,35
/Ngayi0623/,5,3
/NickWuLovesMusic/,14,7
/Nightcap/,562,0
/Ninhao_letus_/,2,6
/Nizope/,25,51
/Nocturnes_bj/,558,0
/Nopillowforsobaka/,55,4
/Novelpablobroke/,10,3
/Ntuhiphop/,155,0
/NuclearCrisis/,1,2
/OBSESS/,3310,0
/OLDBOX/,119,9
/OLIVERXIE/,5,8
/OOPIG/,34,0
/OTA/,13,47
/ObadiahKu/,35,14
/Obze/,78,14
/OfeliaYang/,652,4
/OffsideLane/,8,0
/OlivierCong/,72,0
/OmtRtugh/,37,44
/Oneal4real/,32,40
/Oolites/,30,8
/OrangeOcean/,3807,4
/OrdinaryFeather/,32,75
/OurEyes/,26,36
/Owl725/,6,30
/PB33/,74,6
/PCHF07070107/,21,1
/PESTOMATO/,7,2
/PG523/,67,51
/PINGSAN/,124,0
/PO8__/,112,1
/PROBLEMSBOI/,64,0
/PROJECTAPJ/,74,0
/PSYCHO_PAN/,17,30
/PT37218/,2,5
/PUNKMOSH/,113,1
/Paigesu/,466,2
/PaleRaven/,3,0
/PanJie/,50,5
/Papa0524/,8,1
/ParE/,29,9
/ParadiseLots/,34,15
/Parchi/,3,40
/Peace/,15,25
/Pedro1024/,12,27
/PeggyLiao/,2,0
/PenguinBear/,267,18
/Pew/,58,31
/Pezdorado/,33,36
/Phishing/,2,3
/Pinchill/,99,6
/PinkNoise11/,5616,3
/Pinocchio_Pan/,14,16
/PlanD/,206,1
/PlayArtist/,84,43
/Pleasure_Seeker/,21,0
/Pmas/,2,1
/Poemvocalband/,71,0
/Politicianz/,55,14
/PoloLu/,9,7
/PoshaoHuang/,51,27
/Postcare/,4,0
/PotatoStar/,19,2
/PrintedNoiseLab/,440,15
/Prozac_official_tw/,98,4
/PruneDeer/,1122,6
/PurpleHaze/,15,17
/QSBS/,329,0
/QalavanganSR/,6,14
/Qbopypy/,137,4
/QianMH/,2,1
/Qting/,21,405
/QuachilUttaus/,163,141
/QuakeYenTA2/,15,4
/R0An/,4,2
/RANDOM/,1638,67
/REDGORDON/,6928,72
/REZI/,33,17
/RIGband/,3548,11
/RJ_lin/,92,28
/RS422/,5,5
/RTP_crew/,13,0
/RUSHBA7S/,52,45
/Rachaelgao/,1,1
/Ragpickers/,1,1
/RainyKnight/,590,0
/RakersL77/,54,18
/Raw_victa/,9,17
/Ray_t121/,96,5
/Raykaichen/,211,0
/Rchordcn/,63,394
/RedShoeDaniel/,58,3
/Repeatedive/,93,26
/Resend/,8,1
/RevolverTaipei/,5,1
/Reyx/,106,94
/Rez/,133,23
/Richandyoungcrew/,871,1
/Rivertree/,40,4
/Rjay_pimp/,4,35
/Roaringatman/,610,8
/Rosehead/,55,68
/Rredz59/,37,42
/Ruru0313/,6,20
/RyanGunns/,941,12
/Rythmaga/,28,33
/SADOG/,2300,50
/SAGAS/,16,5
/SGB/,83,70
/SHINEEFZZ/,77,111
/SLBLu66/,1,8
/SNOWWAVE/,15,23
/SQREI/,23,16
/SRollercoaster/,20859,0
/STD269/,6,0
/STREETHPA/,6,9
/STUFFU/,61,7
/SUX2BME/,14,3
/SVREVIEW/,36,0
/SYLVIEPOWER/,13,10
/Sabrina_/,2403,0
/Salvia1218/,7,2
/SanYs/,4,0
/SandBox/,310,1
/Sangpuy_SKM/,1114,0
/Savetheearth/,29,11
/SavuluLawayMusic/,1244,20
/Sayittomorrow/,12,14
/Sbcoo/,3,0
/Schiphop/,68,1
/Seafood/,288,10
/SeasonChu/,78,7
/SeniorRock/,20,3
/Seraph0715/,1,0
/Serrini/,916,8
/Sevenfat_official/,1531,0
/Sexualcold_Therapy/,121,3
/SexyHam/,4,4
/ShawdowLight/,6,0
/ShawtyYi/,53,28
/Shay1115/,24,8
/SheepleLand/,70,29
/Sherlock16/,16,3
/Shii/,239,1
/Shipoffoolstw/,422,2
/Shiru8910/,158,39
/Shizone_official/,66,0
/ShnAftSch/,2,2
/ShockyC/,36,14
/Showerbrothers/,7,0
/ShuBc/,25,2
/Shunza/,83,3
/Shuuhs/,1,1
/Silent_Gentlemen/,663,6
/SilviaYang/,17,4
/SimpleMarket/,1462,2
/SirBilly/,2,1
/SiriSimranKaur/,442,11
/Siropu/,2,1
/SkinnieC/,11,44
/Sleepycat/,253,29
/Slimheaton/,101,45
/Slug0000/,2,1
/Small_Island_Big_Song/,166,0
/SnowyDnB/,34,11
/Song8415/,281,3
/Sonia_Ka_Ian_Lao/,24,0
/SonicDeadhorse/,197,15
/SorryYouth/,10797,0
/SoulFaofficial/,13168,1
/SoulRecord/,1,428
/Soulsick/,44,116
/Stansvoice/,76,96
/StereoMaze2021/,11,0
/StereoPressIt/,34,0
/Steven8nee/,57,47
/Strawberry_nini/,31,2
/Sugar_Lady/,19,0
/SummerTwinkling/,13,6
/Sun__/,5,12
/Sunny2003/,22,5
/SunnyLch/,34,7
/SunsetSamuraiTW/,2048,1
/SunyaXiao/,13,2
/SuperNapkin/,559,0
/SydneyTam/,104,92
/TACMUSIC089/,98,0
/TAGMUSIC/,219,86
/TCE/,92,37
/TEENSEDGE/,54,3
/TEG/,27,0
/TEN_1000percent/,19,12
/THeUnspokenRules/,196,1
/TJKidss/,48,4
/TLW/,122,13
/TLshare/,26,8
/TNSO/,208,4
/TOAN888/,9,14
/TTopwalk/,291,254
/TUTHipHop/,20,0
/TWINS3388/,168,0
/TWMFmyfone/,16,123
/TYLR/,6,14
/TYSG420/,248,0
/Talk_In_The_Pillow/,54,1
/Tbc_official/,17,24
/TeacherLiaw81/,1,3
/Tek/,53,32
/TetraCalyx/,171,0
/TheDeadlyVibes/,19,11
/TheDreamer2020/,24,4
/TheHindsight/,447,0
/TheJAWS/,439,1
/TheJUNK_TW/,20,0
/TheSignals/,163,0
/TheSynthFrame/,23,0
/The_Sorrow_of_Young_Paul/,238,1
/Thebait/,6,1
/Theseus_tw/,13552,0
/Thestudentlin/,224,33
/Third_Quadrant/,223,14
/ThisisPossibleYouth/,6,6
/TimmyNaN/,5,6
/TinaTuna/,149,13
/TiniFlower/,280,9
/ToFlip/,73,0
/TonyYEH/,33,222
/Toolate_jja/,19,44
/Toriyama/,7,0
/Torry_Yee/,3,1
/TousyRoom/,160,28
/TrashJing13/,1,1
/Trexer/,1,10
/Triparade/,69,2
/TripleA/,46,0
/TripleDeer/,1759,11
/Tsubasa71/,3,2
/TuTofficial/,425,4
/TwistedDonutMonsters/,396,20
/Tyrant/,173,84
/TzChien/,1020,18
/U180/,112,39
/UJ_HUANG/,5,18
/Ultramarine/,141,0
/Uncertain4444/,75,0
/UncleWill/,101,16
/Uncle_Hu/,254,3
/UndecimberFin/,1387,4
/UnderU/,142,0
/UnfairPaiN/,7,0
/Uning/,79,324
/UrbanIslandRomance/,360,2
/UrbanRainMan/,1387,0
/VEWS/,114,0
/VHF/,48,79
/VJELMO/,68,76
/VOOID/,2653,1
/Vague_Don/,30,12
/VastHazy/,24810,9
/Venti890206/,93,13
/VeraChai/,98,1
/VerityPower/,5618,267
/Vickytingting/,46,1
/Vilovi/,6,1
/Vinny/,83,42
/Violetchan/,5,38
/VulgarSavior/,2222,22
/Vused/,33,6
/WENFANG/,2231,28
/WNP/,114,13
/WStethoscope/,528,12
/Walilay/,11,105
/Walilei/,28,0
/WalkingDownZhinanRoad/,8185,16
/WallowBand/,59,0
/Wallzband/,34,2
/Walri/,37,3
/WangWen_/,274,0
/Wanjouzzz/,1,15
/WarmWall/,52,0
/WaveManner/,710,13
/Wayne0963/,21,0
/WeiJLee/,209,37
/WeiWeiShe/,8,1
/Weilee_0913/,3,51
/WhatINeed/,288,1
/Whateever_2000/,15,17
/Whatever56/,5,7
/Whoareyou1/,56,17
/Wildodio/,71,7
/Wildrose_punk/,83,4
/Windmillband/,1876,0
/Wonfu/,103,0
/XHARKIE/,224,6
/XUEIYUAN/,1811,0
/XiangYu317/,73,21
/XiiaoYun/,2,5
/XnMstudio/,13,1
/Xuan1220/,19,98
/YANG_DAI_WEI/,238,14
/YANed/,9,26
/YC_Jhu/,24,39
/YHLee79/,257,0
/YL_C/,1,1
/YOFAK/,61,7
/YSZbdogg/,47,68
/YUNGLILY/,172,0
/Yael/,153,14
/YangZhong/,33,0
/YeeWang/,50,14
/Yellen/,2,1
/Yentzu/,8,6
/Yifun/,109,23
/Yiijiajia/,44,2
/Yiru0214/,1,25
/Yishao_tsai/,169,14
/Yoncky/,3,19
/YoungLee337/,900,15
/YoungStear/,11,25
/Young_Lin/,116,35
/Young_Yu/,21,6
/Yugi_Lu/,91,18
/Yukikiki/,1,71
/Yun_Z/,17,19
/Yutangc/,7,53
/ZENGFI/,4,17
/ZERO/,73,98
/ZHBLACK/,2,69
/ZIRROW/,5,4
/ZMC/,9,24
/ZT0911/,4,4
/ZZ23217742/,271,24
/Z_Era/,25,18
/Zechariah_/,33,10
/Zeyy/,5,4
/Zhangjianfenger/,9,1
/Zhonzi/,7,6
/Zin0223/,20,9
/Zr1996/,38,25
/Zshiuan/,540,39
/Zumi2019/,110,13
/Zyee/,16,41
/_03roffy/,10,3
/_XP_/,45,16
/___igu24/,4,40
/_isthatericcc/,25,6
/_lh__1999/,251,5
/a0075402001/,13,2
/a0913558260/,10,21
/a0927988682/,22,4
/a1234567joy/,10,14
/a1283480/,5,4
/a139567/,11,50
/a198776772000/,6,14
/a21043e/,3,1
/a21043w/,2,2
/a23465988/,16,2
/a23630117/,3,7
/a2465652354/,1,2
/a28806818/,8,19
/a28951616/,7,6
/a3020698/,124,12
/a3323759/,30,27
/a3628211/,2,27
/a389962581/,62,1
/a40817/,2,1
/a54421268/,1,21
/a5965861/,2,8
/a7474896/,153,13
/a8808181/,31,22
/a921663613/,4,2
/a930058a/,60,21
/aa121443440/,9,21
/aa50814/,15,7
/aaa8661767/,4,2
/aaabcde/,9,26
/aaacao/,42,23
/aaasi/,18739,0
/aaatmy/,47,57
/aalime/,13,27
/aaron0312/,21,3
/aaron816/,173,533
/aaronchen2003/,20,22
/abc255412/,13,25
/abc3121718/,79,7
/abc338282/,190,10
/abc4631023/,41,23
/abc8594/,550,5
/abc931399/,220,20
/abcxyz23572/,6,4
/abeicco/,16,17
/aberrationyuegui/,149,0
/abhorrent/,34,25
/abiner/,1,2
/abl1201/,14,12
/abomusic/,292,0
/aboooooo/,1,2
/absurdlife/,87,19
/abtrap/,21,0
/acawanted/,4326,1
/accomplicespunx2015/,2498,12
/ace23058/,12,45
/aceband/,23,11
/aceguitarsband/,215,5
/achauchau/,1108,18
/acidulous/,10,5
/adam160557/,174,21
/adan3862936/,146,114
/adrian_hsu/,6,11
/aemong/,94,0
/aeonnight/,7,0
/aerobotband/,103,26
/afattyaloser/,106,28
/afaye0211/,2,3
/africa/,58,116
/after20/,9,10
/afubighead/,6,0
/ag234567891011/,4,9
/again/,85,286
/agatha77/,12,24
/aged_star_kga/,13,31
/agoniaya/,7,5
/aheya2006/,74,52
/aheya2007/,232,14
/ahmeow/,75,39
/aidatung/,152,20
/aiko01212001/,21,23
/ailun/,24,37
/ainkaoh/,32,13
/air4378/,39,35
/airmonkey/,30,43
/ajinandsecond/,44,2
/ajinyuanxiu/,24,1
/ajol/,138,0
/ajun9356/,10,7
/akapcl/,49,168
/akaso76930/,119,0
/akayoungpeach/,67,7
/akihuangmusic/,40,2
/alan8410/,333,26
/alan860409/,369,1
/alanalanalan0807/,1,40
/alee42003/,76,0
/alene/,105,18
/alex800817/,2,1
/alice81824/,4,0
/alice900791/,230,15
/alice9xx/,2,0
/alicewmusic/,44,20
/alick886/,7,2
/aliver/,1,1
/alkuan/,2,1
/all_lee/,22,5
/allen19990513/,23,8
/allen7676/,7,9
/allenxx228/,78,20
/allison0226/,6,4
/allmusickilla/,13,0
/alluvial/,156,143
