音樂人 ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地,type
Softmiller,6,237,122,音樂人,臺北市,1
Rooftopmob,39,381,8,認證音樂人,新北市,1
dc912001,2,127,10,音樂人,臺北市,1
yufuchenmusic,17,1442,0,音樂人,桃園市,1
DJGround,3,99,17,音樂人,臺北市,1
SouthVibe,8,160,0,音樂人,None,1
ah_shu_shu,1,52,12,音樂人,新北市,1
TNTBoii,4,99,40,音樂人,新北市,1
zcrighthere,29,1192,15,音樂人,上海,1
cosmosjade,11,6165,7,音樂人,臺北市,1
bambii_annz,9,239,5,認證音樂人,臺北市,1
sunriz,1,353,16,音樂人,臺北市,1
babybabycrycry,2,357,19,認證音樂人,臺南市,1
showmain,12,419,7,認證音樂人,新北市,1
lil_giant,4,162,102,音樂人,臺北市,1
lil_karbi,4,2507,40,音樂人,臺北市,1
poe4ever,14,3644,47,音樂人,None,1
harry08jo4pie,6,99,0,音樂人,新竹市,1
5400_54oo,2,721,0,認證音樂人,臺北市,1
ShiShr,18,1550,6,音樂人,臺北市,1
LoadingStory_Official,5,442,6,音樂人,臺北市,1
azDNorth,12,324,3,認證音樂人,新北市,1
Haoceler,1,65,27,音樂人,臺北市,1
nabeyaki_egg_noodles,1,45,0,音樂人,新北市,1
longhumen,1,272,0,音樂人,基隆市,1
chad_0719,8,44,0,音樂人,臺南市,1
yung_chiao,11,162,46,音樂人,臺北市,1
dcdessy,8,371,2,音樂人,香港,1
mxxdlife,17,2878,0,認證音樂人,新北市,1
thenextlty861031,9,101,5,音樂人,新北市,1
6XT7,7,331,0,音樂人,美國,1
Swannnn,2,57,9,音樂人,臺北市,1
gatsbyjayyy,6,83,0,音樂人,臺中市,1
Myloverseyes18,11,4663,0,認證音樂人,臺北市,1
KayC14,4,393,3,認證音樂人,新北市,1
tzuyuan30,7,119,0,認證音樂人,臺南市,1
feiliup,32,154,1,認證音樂人,臺北市,1
s9021720000,1,33,20,音樂人,桃園市,1
Bear_fan,12,224,36,認證音樂人,基隆市,1
eyesggfresh,8,192,18,音樂人,雲林縣,1
Haormusic,93,1035,15,音樂人,None,1
