Lil__Wave,622591,1849,58,10,Hip hop / Rap,2020-09-06
alreadyco,24035,3101,30,0,Hip hop / Rap,2007-08-13
smmaooo,111349,105,2,0,Hip hop / Rap,2010-05-02
MIMwatercity,581426,14663,348,8,Post rock,2019-05-05
wssband,36529,5059,80,6,Alternative,2008-02-24
pan2,600450,176,9,1,Hip hop / Rap,2019-12-11
jcfc,84123,258,3,0,Classical,2009-07-15
slack_tide,173460,1501,7,0,Folk,2012-07-24
noodle1983,25707,11107,23,1,Hip hop / Rap,2007-09-09
esoac,371334,3606,83,0,Electronic,2016-06-27
WENFANG,126052,44535,617,24,Folk,2010-10-20
guntzepaula,274034,4220,116,7,Pop,2014-07-08
Immanuel,369011,1623,23,0,Alternative,2016-05-12
VerityPower,632564,75176,2009,506,Singer / Songwriter,2021-01-10
thefurofficial,565546,18895,690,24,Pop,2018-09-15
Eriene,586814,117,8,0,Folk,2019-07-07
resaclub,642574,1858,86,53,R&B / Soul,2021-04-11
thehungerartist,612712,18651,432,13,Rock,2020-05-05
dannyee,143914,1833,28,1,Punk,2011-06-15
koucc,170065,1971,42,0,Hip hop / Rap,2012-06-09
fannmusic,391671,5535,185,4,Singer / Songwriter,2017-01-11
medchem,140480,70,2,0,Classical,2011-04-27
youngsouljaz,97522,5365,51,3,Hip hop / Rap,2009-11-22
MessBand,628219,1465,50,35,Punk,2020-11-17
VerityPower,401871,15456,572,30,Singer / Songwriter,2017-03-06
louie0630,676341,184665,5491,1133,Pop,2022-03-12
aaasi,668377,95094,2933,396,Pop,2021-12-27
xiezhiping,501772,23903,747,17,Singer / Songwriter,2017-07-12
Drochen,623706,166,8,2,Reggae / Funk,2020-09-20
bringmesomesoup,662020,136356,4277,775,Singer / Songwriter,2021-10-05
14production,80317,2021,24,0,Hip hop / Rap,2009-06-08
thetatw2017,402031,1032,14,0,Electronic,2017-03-06
wangjasonstussy,34561,4913,23,0,Pop,2008-01-24
SRollercoaster,648835,24028,1063,408,Alternative,2021-06-06
daz4shizzle,90287,1284,14,0,Hip hop / Rap,2009-09-02
itg98989,610874,426,16,1,Hip hop / Rap,2020-04-13
Agnesband,294120,301,6,0,Pop,2014-09-08
WEIAN,50644,250,3,0,Hip hop / Rap,2008-07-30
ChicoTsai,597978,982,13,1,Dance,2019-11-08
roye1106,618407,53,2,0,Hip hop / Rap,2020-07-14
escape_plan,194514,369001,8711,102,Rock,2013-06-26
Babymusic,136802,9,1,0,Classical,2011-03-07
pnfc,195077,134225,3662,129,Alternative,2013-07-06
jimmy1983062222,32379,966,8,0,Hip hop / Rap,2007-12-23
nckn,549101,193685,3586,158,Singer / Songwriter,2018-02-25
wasdeqwasd,625232,110,5,4,Folk,2020-10-07
kumarathecat,570125,200,16,0,Rock,2018-12-08
c23456789012,570263,94,8,3,Singer / Songwriter,2018-12-11
COCOONBAND,205908,2006,27,0,Rock,2014-01-17
liliumtaiwan,547109,1304,27,1,Rock,2018-01-24
match0728,655176,298,22,26,Hip hop / Rap,2021-07-28
